day_of_week,hour,state,road_type,junction_type,weather_condition,road_condition,light_condition,speed_kmh,speed_limit_kmh,visibility_m,num_vehicles,driver_age,driver_experience_yrs,vehicle_type,alcohol_involved,seatbelt_worn,num_casualties,speed_excess_kmh,is_night,accident_severity
0,-0.7566745867998319,0,4,0,3,0,1,-0.6454430606563566,-0.6485493480740924,0.3966034957217116,-0.8895131572487315,-0.7873266610168357,1.130579884516789,1,0.0,1.0,0.18406572398036455,-0.51689462436444,0,1
2,-2.0886924256910606,6,0,2,1,1,3,-0.20190110273064388,-0.2624721619821763,-0.27545689526701533,-0.1857321946585618,-1.150529214843033,0.4258531512729833,2,0.0,1.0,-0.9125324919603691,-0.45496581039504785,1,1
2,1.2413521715370115,0,0,3,0,0,1,0.8013115744340809,-0.6485493480740924,-0.0692816864449307,-0.1857321946585618,-1.0597285763864837,1.060107211192408,3,0.0,1.0,1.2806639399210982,1.1076464463115134,0,2
1,-1.2561812763840428,0,0,0,0,4,1,0.20124824256435567,-0.6485493480740924,0.37049976756612585,-0.1857321946585618,0.847084831201052,-0.014601057004395018,3,0.0,0.0,-0.36423338399000227,0.43384350558819845,1,1
5,0.24233879236858974,0,4,0,5,0,0,-0.7868172048638514,0.5096822102016558,-0.16042351695426418,-0.8895131572487315,-0.06092155336444113,-0.68409145358601,4,0.0,0.0,-0.9125324919603691,-0.7964465240431744,0,1
3,-0.0906656673542175,3,1,3,2,4,0,-0.3545385716140108,-0.6485493480740924,-0.5028690354699159,-0.1857321946585618,1.3010880234837987,0.9543982012058373,4,0.0,1.0,-0.36423338399000227,-0.19024193659630856,0,1
2,-0.7566745867998319,2,3,1,0,0,1,1.3567099981063828,-0.6485493480740924,-1.2669561291088438,-0.8895131572487315,-1.2413298532995822,2.3462334993623526,5,1.0,1.0,0.7323648319507313,1.7312957700877853,0,2
5,-1.58918573610685,1,4,0,0,1,3,2.0336746501768883,-0.2624721619821763,-1.374025658153789,-0.8895131572487315,0.5746829158314041,0.8310710228881715,4,1.0,0.0,0.18406572398036455,2.055331747406506,1,2
2,0.9083477118142042,0,4,1,2,4,1,1.3648661987337387,0.5096822102016558,-1.746114393388496,-0.1857321946585618,0.029879085092108182,-0.014601057004395018,5,0.0,0.0,2.377262155861832,0.4320990319552582,0,2
2,0.7418454819528005,0,4,0,2,4,0,-1.2354082393684032,-0.2624721619821763,1.2403290820386983,-0.8895131572487315,-0.15172219182099045,1.324379736158835,5,0.0,1.0,-0.36423338399000227,-0.7964465240431744,0,0
1,0.40884102222999336,1,3,0,1,1,1,-0.7320541435087504,1.281836582385488,1.1182167265990086,-0.8895131572487315,1.2102873850272493,-0.4022007602884878,0,0.0,1.0,-0.9125324919603691,-0.7964465240431744,0,0
